,Algo1,Algo2,Algo3,Algo4,AlgoCheat1,AlgoCheat2,AlgoCheat3,AlgoComp1,s3
0,5.00000000069889e-07,4.0000000023354687e-07,5.000000005139782e-07,7.000000001866624e-07,4.0000000023354687e-07,2.9999999995311555e-07,4.0000000023354687e-07,2.9999999995311555e-07,4.0000000023354687e-07
1,0.00031930000000013337,0.0002974000000000032,5.5999999997169425e-06,2.4299999999755073e-05,0.00014100000000016877,0.0003010000000003288,5.4099999999834836e-05,1.3700000000227419e-05,1.0999999995320309e-06
2,0.000549600000000039,0.0006601999999999997,1.0000000000509601e-05,2.95999999995189e-05,0.00018310000000010263,0.000548000000000215,6.949999999950052e-05,1.6100000000740522e-05,1.0999999995320309e-06
3,0.0008258000000000987,0.0008271999999998059,1.4299999999245472e-05,4.259999999955966e-05,0.00029460000000014475,0.000815499999999858,9.350000000019065e-05,2.309999999994261e-05,7.999999995789153e-07
4,0.0010958999999999275,0.0011296000000000639,1.8999999999991246e-05,9.499999999995623e-05,0.0003655000000000186,0.0011322000000006938,0.0001221999999998502,2.920000000017353e-05,1.000000000139778e-06
5,0.001396299999999906,0.0013152999999999082,2.3500000000176158e-05,6.770000000067e-05,0.0004803999999998254,0.0014174999999996274,0.00022750000000026915,3.5500000000077137e-05,1.1999999998124622e-06
6,0.0015271999999999508,0.0016297000000000672,2.8300000000314185e-05,8.379999999963417e-05,0.0006767999999999219,0.001669099999999979,0.0001807000000004777,4.3100000000073635e-05,1.0999999995320309e-06
7,0.0017376000000000058,0.0037895999999997265,3.300000000017178e-05,9.250000000005087e-05,0.0007270999999997585,0.0018801000000001622,0.0002348999999997048,4.9100000000024124e-05,1.3999999994851464e-06
8,0.002226999999999979,0.0030524999999999025,3.679999999928185e-05,0.00010729999999981032,0.0007589000000001178,0.0021892000000001133,0.00023650000000063898,6.780000000006225e-05,1.4000000003733248e-06
9,0.0027079999999999327,0.002571500000000171,4.0799999999840963e-05,0.00010999999999938836,0.000776300000000063,0.0026709000000000316,0.00027069999999973504,8.169999999996236e-05,1.699999999438262e-06
